Date,Multiple Dates,Company Type,Repeat Company [Leads],Repeat Company [Event],Event,Facilitator,Activity,Event Type,Half/Full,AM/PM,Num of Pax,Account Manager,Sales Manager,Num of Responses,Positive,Negative,Event Rating,Team Bonding,Facilitator Rating,Motivation,Values & Decision Making,Customer Service/Communication,Time Management/Productivity,Emotional Intelligence,Cultural Competency/Diversity,Building Rapport,Conflict Management,Leading Change,,,,,,,,,,
08-04-2019,,Fashion,,No,Nike,Farhan & Ris,Puzzle Challenge + 3 Physical Activity,Professional,Half,PM,40,Jedde,P.V,3,,,9,9,9.3333,1,3,0,1,0,0,3,1,0,,,,,,,,,,
09-04-2019,,Service,,No,Sthree,Jedde & Ris,Discover Sentosa,Professional,Half,PM,28,Jedde,P.V,20,,,9.15,9.2,9.2,9,7,1,7,12,4,,3,7,,,,,,,,,,
11-04-2019,,Technology,,No,Apple,Farhan & Ris,Food Heritage Trail,Professional,Half,AM,35,Darrell,Patrik,3,,,8,9,8.3333,1,1,0,2,0,2,1,1,1,,,,,,,,,,
11-04-2019,,Fashion,,No,Nike,James ,Wild Goats + Marshmallow Challenge,Professional,Half,PM,40,Jedde,P.V,3,,,9,9,9.3333,1,3,0,1,0,0,3,1,0,,,,,,,,,,
11-04-2019,,Medical,,Yes,Roche,Darrell ,F1 Challenge,Professional,Half,PM,26,Faj,Jasline,14,,,9.2143,9.4286,9.3571,5,4,6,1,3,1,8,2,7,,,,,,,,,,
12-04-2019,,Manufacturing,,Yes,Estee Lauder,Darrell & Farhan & Ris,Food Heritage Trail,Professional,Half,PM,42,Farhan,Jasline,56,,,8.9464,9.2143,9.3393,23,15,15,11,19,8,22,24,23,,,,,,,,,,
18-04-2019,,Manufacturing,,No,Amphenol,Farhan & Ris,Bridging The Gap,Professional,Half,PM,70,Jedde,Daniel,24,,,8.8696,9,9,11,8,8,9,8,3,8,8,12,,,,,,,,,,
22-04-2019,,Education,,Yes,My First Skool,Darrell,Wild Goats + Dinner Game,Professional,Half,PM,73,Ris,Patrik,8,,,8.375,8.75,9.375,4,0,0,3,5,1,4,6,2,,,,,,,,,,
24-04-2019,,Oil and Gas,,Yes,Exxon Mobil,Jedde & Ris,Wild Goats,Professional,Half,PM,180,Darrell ,Jasline,3,,,10,7.3333,10,1,2,1,1,2,1,2,2,3,,,,,,,,,,
26-04-2019,,Data & Software,,No,Trainocate,Farhan,Bridging The Gap,Professional,Half,PM,22, Jedde,Jasline,1,,,10,10,10,1,1,0,0,0,0,0,1,0,,,,,,,,,,
27-04-2019,,Bank,,Yes,DBS,Darrell ,Running Man,Professional,Full,FULL,70,Farhan,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,
29-04-2019,,Service,,No,La Source,Farhan,60 Seconds,Expert,Half,AM,15,Darrell,P.V,3,,,9,9,9,1,2,0,0,3,0,0,2,1,,,,,,,,,,
03-05-2019,,Manufacturing,,No,Murata Machinery,Jedde,Casino Heist,Professional,Half,PM,60,Darrell,Patrik,13,,,8.7692,8.6923,8.7692,8,7,2,3,7,2,3,10,5,,,,,,,,,,
07-05-2019,,Government,,No,Home Team,Farhan,Wild Goats,Professional,Half,PM,26,Ris,Patrik,5,,,9.5,8.75,9.5,2,2,1,2,3,0,1,1,1,,,,,,,,,,
07-05-2019,,Medical,,No,Boehringer Ingelheim ,Jedde,Chain Reaction,Professional,Half,PM,14,Darrell,Jasline,7,,,9.4286,9.5714,9.5714,2,0,2,2,2,1,6,2,5,,,,,,,,,,
08-05-2019,,Technology,,Yes,HP,Darrell,Graffiti Art,Professional,Half,PM,20,Farhan,PV,2,,,9,9,9,1,0,0,2,0,0,0,2,1,,,,,,,,,,
10-05-2019,,Government,,No,CPF,Farhan,Wild Goats,Professional,Half,PM,47,Ris,PV,4,,,8,8.75,8.25,2,1,1,1,1,0,1,1,2,,,,,,,,,,
10-05-2019,,Manufacturing,,Yes,Treasury Wine Estate,Jedde,Casino Heist,Professional,Half,AM,12,Darrell,Jasline,2,,,10,10,10,0,1,0,1,0,1,1,1,1,,,,,,,,,,
14-05-2019,,Financial Services,,No,Allianz,Farhan,Discover Sentosa,Expert,Half,PM,25,Darrell,Patrik,8,,,9.25,9.375,9.375,3,4,1,2,1,1,4,3,3,,,,,,,,,,
16-05-2019,,Medical,,Yes,GSK,Jedde,Wild Goats,Professional,Full,FULL,15,Ris,Jasline,10,,,9.2,9.5,9.5,3,1,2,2,2,3,4,3,6,,,,,,,,,,
17-05-2019,,Bank,,Yes,UOB,Darrell,Running Man,Professional,Half,PM,35,Jedde,Jasline,3,,,9.6667,9.6667,9.3333,1,1,1,2,2,2,3,2,2,,,,,,,,,,
23-05-2019,,Manufacturing,,Yes,Treasury Wine Estate,Guide,60 Seconds,Guided,Half,AM,30,Farhan,Jasline,4,,,9.75,9.75,9.75,3,4,3,0,0,1,1,0,0,,,,,,,,,,
24-05-2019,,E-commerce,,Yes,Lazada,Jedde,Beach Olympics,Professional,Half,PM,150,Darrell,PV,7,,,8,8,8.7143,3,3,3,2,2,2,3,3,0,,,,,,,,,,
25-05-2019,,Financial Services,,No,Finaxar,Farhan,Drone Challenge,Professional,Half,PM,21,Farhan,PV,17,,,9.1765,9.2941,9.8235,9,6,7,7,3,4,3,4,3,,,,,,,,,,
28-05-2019,,Financial Services,,Yes,Swiss Re,Darrell,Discover Sentosa,Professional,Half,,15,Ris,PV,15,,,9,9.2143,8.9286,9,7,5,3,3,5,3,3,5,,,,,,,,,,
30-05-2019,,Oil and Gas,,Yes,Shell,Jedde,Treasure Hunt,Professional,Half,PM,25,Jedde,Jasline,6,,,9.5,9.1667,9.6667,3,2,0,1,2,2,3,4,1,,,,,,,,,,
30-05-2019,,Manufacturing,,Yes,Estee Lauder,Darrell,Food Heritage Trail,Professional,Half,AM,35,Darrell,Jasline,20,,,8.5556,8.7778,8.7059,9,12,2,6,5,1,5,8,2,,,,,,,,,,
30-05-2019,,Consulting,,No,Korn Ferry,James,Wild Goats,Professional,Half,PM,150,Ris,PV,3,,,9.6667,9.3333,10,0,3,1,2,0,0,1,2,0,,,,,,,,,,
30-05-2019,,Government,,No,Home Team,Farhan,F1 Challenge,Guided,Half,PM,70,Farhan,Patrik,5,,,9.5,8.75,9.5,2,2,1,2,3,0,1,1,1,,,,,,,,,,
31-05-2019,,Manufacturing,,No,Tesa Tape,Jedde,60 Seconds + Relay Race,Professional,Half,PM,40,Farhan,Patrik,4,,,9,9.25,9.75,1,1,3,1,1,2,2,0,1,,,,,,,,,,
01-06-2019,,Bank,,No,Handelsbanken,James,Wild Goats + Breaking Barriers + Human Logo,Expert,Full,Full,30,Ris,Patrik,15,,,9.4667,9.2667,9.7333,8,3,4,3,7,2,6,9,4,,,,,,,,,,
08-06-2019,,Institution,,No,ABC Centre,Darrell,Treasure Hunt,Professional,Half,PM,25,Darrell,Patrik,1,,,8,9,8,1,0,0,1,1,0,1,1,0,,,,,,,,,,
10-06-2019,,Financial Services,,No,Credit Agricole,Farhan,Running Man ,Professional,Half,PM,50,Jedde,PV,4,,,9.25,9.5,9.25,2,2,0,3,0,0,0,3,1,,,,,,,,,,
12-06-2019,,Data & Software,,Yes,VMware,James,60 Seconds + Drone Challenge + Breaking Barriers,Professional,Half,PM,120,Risliani,PV,39,,,9.5641,9.5385,9.6154,17,17,9,16,18,10,10,16,7,,,,,,,,,,
13-06-2019,,Financial Services,,Yes,AXA,Jedde,Food Heritage Trail,Professional,Half,PM,30,Ris,Jasline,16,,,9.0625,9.3125,9.1875,7,5,1,6,6,3,11,8,5,,,,,,,,,,
14-06-2019,,Financial Services,,No,Pacific Life,Darrell,Indoor Creative Challenge,Professional,Half,PM,70,Farhan,Patrik,7,,,8.5714,9,9.2857,4,0,0,1,4,3,4,3,3,,,,,,,,,,
15-06-2019,,Photography,,No,KT Digital,Darrell,Collaborate!,Professional,Full,FULL,17,Farhan,Patrik,7,,,9.4286,8.4286,9.5714,5,3,1,7,4,0,1,2,1,,,,,,,,,,
18-06-2019,,Medical,,No,TrueGenics,Jedde,Amazing Race,Professional,Half,PM,60,Darrell,PV,30,,,8.4,8.5667,8.7667,12,14,5,14,11,5,12,15,14,,,,,,,,,,
18-06-2019,,Medical,,Yes,Abbvie,Farhan,Running Man,Professional,Half,PM,60,Zhu Qian,Patrik,14,,,8.6429,8.3571,8.7143,5,5,2,8,7,7,8,2,4,,,,,,,,,,
20-06-2019,,Auto Service,,Yes,Motorist SG,James & Jedde,DISC + Wild Goats,Professional,Full,FULL,28,Farhan,Jasline,6,,,9.5,9.6667,9.8333,4,3,0,0,1,1,4,4,2,,,,,,,,,,
24-06-2019,,Medical,,Yes,GSK,Guide,Treasure Hunt,Guided,Half,PM,50,Farhan,PV,17,,,7.2941,8.7059,7.8824,7,3,3,6,9,4,8,6,7,,,,,,,,,,
25-06-2019,,FMCG,,Yes,P&G,Farhan/Darrell,Wild Goats,Professional,Full,FULL,40,Farhan/Darrell,PV,3,,,7.3333,8.6667,7.6667,1,2,0,0,2,1,1,2,0,,,,,,,,,,
26-06-2019,,Financial Services,,Yes,Mastercard,Jedde,The Domino Challenge,Professional,Half,PM,60,Adrian,Jasline,3,,,9.3333,9.3333,9.6667,2,0,0,0,3,1,0,3,1,,,,,,,,,,
26-06-2019,,Technology,,No,Bitsmedia,James,Beach Olympics,Expert,Half,PM,25,Farhan,Patrik,5,,,10,10,10,3,3,0,0,2,0,1,0,2,,,,,,,,,,
27-06-2019,,Government,,No,CPF,Farhan,Food Heritage Trail,Professional,Half,PM,47,Ris/Adrian,Patrik,1,,,4,8,9,0,1,0,1,1,0,0,0,0,,,,,,,,,,
28-06-2019,,Manufacturing,,No,Shopix,Guide,Beach Olympics,Professional,Half,AM,20,Jedde,PV,1,,,10,10,10,1,0,1,1,0,0,1,0,0,,,,,,,,,,
